# contact_frame=30
# contact_time=0.125000
# fps=240.0
frame,t,x_px,y_px,diameter_px,area_px
30,0.125000,149.52,900.19,24.96,649.5
31,0.129167,177.11,886.84,24.59,665.0
32,0.133333,205.03,874.90,24.87,657.5
33,0.137500,232.01,862.03,24.80,678.5
34,0.141667,259.29,848.78,24.61,663.0
35,0.145833,287.23,836.67,24.66,672.5
36,0.150000,313.89,823.89,24.89,636.0
37,0.154167,340.95,812.17,24.66,660.5
38,0.158333,367.81,800.14,24.48,646.0
39,0.162500,394.96,786.99,24.65,652.0
40,0.166667,421.97,774.99,24.85,650.5
41,0.170833,449.67,763.14,24.86,649.5
42,0.175000,476.81,751.08,24.23,641.0
43,0.179167,503.13,738.96,24.68,644.5
44,0.183333,529.79,726.88,24.23,648.5
45,0.187500,557.01,714.98,24.87,639.0
46,0.191667,583.63,702.93,24.89,654.0
47,0.195833,611.18,691.02,24.73,654.0
48,0.200000,637.69,679.11,24.64,641.0
49,0.204167,665.05,667.92,24.54,649.0
50,0.208333,691.10,655.90,24.64,641.0
51,0.212500,718.07,643.84,25.09,625.5
52,0.216667,744.92,633.15,25.07,634.0
53,0.220833,770.95,621.12,25.01,615.0
54,0.225000,798.09,609.85,24.55,611.0
55,0.229167,823.98,598.89,25.10,630.5
56,0.233333,851.25,587.16,24.61,621.5
57,0.237500,876.67,576.13,24.82,620.5
58,0.241667,904.01,565.02,25.09,629.5
59,0.245833,929.80,553.82,24.57,619.0
60,0.250000,956.94,543.11,24.84,611.0
61,0.254167,982.94,532.00,24.99,621.5
62,0.258333,1009.30,521.06,24.55,618.0
63,0.262500,1036.03,509.97,25.25,627.0
64,0.266667,1061.89,499.07,24.84,630.5
65,0.270833,1088.01,487.99,24.76,628.0
66,0.275000,1113.86,478.05,24.76,622.5
67,0.279167,1139.88,467.15,24.80,630.0
68,0.283333,1166.73,455.82,24.81,630.0
69,0.287500,1192.83,446.12,24.67,623.5
70,0.291667,1219.07,435.03,24.54,587.0
71,0.295833,1244.95,424.98,24.46,586.0
72,0.300000,1271.01,413.99,24.53,580.0
73,0.304167,1297.07,403.92,24.62,583.0
74,0.308333,1322.98,393.94,24.55,585.0
75,0.312500,1347.91,383.89,24.42,580.5
76,0.316667,1373.94,373.06,24.70,586.0
77,0.320833,1399.98,362.95,24.67,587.0
78,0.325000,1425.92,353.06,24.64,577.0
79,0.329167,1452.13,343.14,24.61,575.5
80,0.333333,1477.02,333.07,24.74,578.0
81,0.337500,1503.04,322.95,24.80,577.0
82,0.341667,1529.04,313.04,24.44,574.0
83,0.345833,1554.09,303.99,24.58,580.0
84,0.350000,1580.09,293.99,24.65,575.0
85,0.354167,1605.96,284.08,24.43,576.0
86,0.358333,1631.07,275.04,24.86,574.0
87,0.362500,1657.00,265.13,24.68,578.0
88,0.366667,1682.06,255.97,24.94,576.0
89,0.370833,1707.94,246.02,24.73,573.0
90,0.375000,1733.06,236.99,24.53,575.0
91,0.379167,1757.94,226.98,24.86,568.0
92,0.383333,1784.03,217.97,24.75,573.0
93,0.387500,1808.98,209.01,24.76,565.0
94,0.391667,1834.04,199.90,24.93,569.0
95,0.395833,1859.98,190.00,24.64,571.0
96,0.400000,1884.96,181.01,24.72,569.0
97,0.404167,1910.08,172.01,24.42,489.5
