# clip=live_42.mov
# contact_time=1.458391
# setting=live
# source=SwingLab on-device
# fps=200.0
frame,t,x_px,y_px,diameter_px,area_px
526,2.196667,489.55,692.22,15.99,462.0
527,2.200000,497.94,690.28,8.99,225.0
528,2.205000,500.39,692.20,10.06,284.0
530,2.213333,506.77,692.55,14.21,367.0
531,2.216667,507.75,697.83,10.56,363.0
532,2.221667,514.35,693.58,11.11,394.0
533,2.225000,517.52,695.35,8.04,282.0
534,2.230000,515.46,697.67,17.47,680.0
535,2.233333,528.91,691.70,8.57,214.0
536,2.238333,557.46,690.16,8.97,234.0
538,2.246667,669.51,685.31,9.86,172.0
